topic,term,beta
7,drizzled,0.017953807505120614
8,drizzled,1.2298710884486503e-60
9,drizzled,2.1490622098048472e-29
10,drizzled,4.87434939763645e-72
1,fillet,2.3525472844576578e-73
2,fillet,1.4651506801967703e-83
3,fillet,6.190914351483046e-43
4,fillet,8.235265902400506e-51
5,fillet,3.374825045340433e-48
6,fillet,4.889629325179311e-37
7,fillet,0.017793776535548922
8,fillet,2.615208832818606e-56
9,fillet,1.514281583600056e-23
10,fillet,1.010332616709395e-63
1,fish,3.133151640061533e-5
2,fish,2.585219179158245e-43
3,fish,9.869495604852358e-5
4,fish,0.006441245932529406
5,fish,7.100519598832168e-18
6,fish,1.6178276821665505e-5
7,fish,0.04614664132509584
8,fish,9.085954221497093e-19
9,fish,0.008288368882163374
10,fish,1.0037825418522437e-34
1,lightly,1.8107761629973743e-55
2,lightly,9.547973834875294e-57
3,lightly,1.0046417574560886e-26
4,lightly,1.883142157037796e-32
5,lightly,4.1795102271387876e-47
6,lightly,1.5114102359661667e-18
7,lightly,0.02392440542594812
8,lightly,9.404591561208503e-37
9,lightly,1.0872474308153943e-20
10,lightly,2.4560823869943103e-45
1,topped,2.3161737539170615e-22
2,topped,1.2036010683986575e-33
3,topped,9.696060574606744e-9
4,topped,0.0054723760570895945
5,topped,4.780965854886926e-21
6,topped,0.0273266078769572
7,topped,0.04082805403950815
8,topped,8.117235416355299e-8
9,topped,0.006670040226928344
10,topped,0.009260675774709286
1,tortillas,3.920765995959463e-6
2,tortillas,2.8070174635978035e-33
3,tortillas,0.010924587180474992
4,tortillas,0.022003537088974384
5,tortillas,2.3369839477248363e-19
6,tortillas,0.008488261204402407
7,tortillas,0.03192844108116401
8,tortillas,0.02112268514970988
9,tortillas,0.008478024301342826
10,tortillas,1.9161240938547892e-30
1,tucked,1.0918830890048943e-100
2,tucked,1.7885053919569428e-154
3,tucked,3.81819189546319e-90
4,tucked,2.7572605806605006e-82
5,tucked,1.2502016767560516e-119
6,tucked,7.538621593988508e-101
7,tucked,0.01607420989555889
8,tucked,2.2867127540565592e-69
9,tucked,6.757365377550849e-35
10,tucked,1.9128683984969718e-109
1,wedge,1.2875611240626409e-115
2,wedge,2.976804772400743e-149
3,wedge,4.80263771674292e-54
4,wedge,1.0967048141943165e-71
5,wedge,4.1925472124010828e-81
6,wedge,1.0571292153931308e-78
7,wedge,0.017046138865988044
8,wedge,6.268135243337253e-75
9,wedge,2.0052785839241386e-33
10,wedge,1.4233667736142613e-92
1,beans,2.5887767491282092e-8
2,beans,7.651300441481435e-23
3,beans,2.107612230339333e-9
4,beans,0.05911241184961685
5,beans,0.029620306683356974
6,beans,0.05589598226723461
7,beans,3.4866540816387966e-4
8,beans,1.350759813788398e-12
9,beans,0.030520403880374355
10,beans,0.0065327531019528816
1,citrus,8.630054469590432e-56
2,citrus,1.0667807685527361e-66
3,citrus,8.67786332915038e-17
4,citrus,1.3209737108473933e-33
5,citrus,0.021755179502680737
6,citrus,5.125701618434577e-50
7,citrus,0.005398569288138377
8,citrus,2.2593632320626098e-39
9,citrus,3.7419033324739915e-17
10,citrus,5.213150041945045e-59
1,rice,2.790231669820064e-5
2,rice,6.71054993237584e-38
3,rice,1.1598066055788793e-8
4,rice,0.049727280368537026
5,rice,0.028178434161315682
6,rice,0.04072710015021363
7,rice,3.4793438069886614e-4
8,rice,5.449893078337355e-20
9,rice,0.02969098702792419
10,rice,1.2452445122152007e-4
1,skyline,5.788860348825523e-196
2,skyline,2.408302736897622e-196
3,skyline,3.4320281788829266e-203
4,skyline,1.2046443189455415e-35
5,skyline,2.7157585185812913e-190
6,skyline,8.848948121481227e-176
7,skyline,1.329082972083761e-189
8,skyline,6.904199974526598e-190
9,skyline,6.275649399144441e-169
10,skyline,0.005573294771785957
1,red,4.8787344192023555e-5
2,red,2.6924092021717323e-32
3,red,0.018731331224177528
4,red,7.805052585872508e-5
5,red,0.02870514499913937
6,red,0.008903389320189433
7,red,9.13607029591737e-15
8,red,1.8215195527939343e-4
9,red,5.947317042796349e-15
10,red,0.008080736293974416
1,tomatillo,6.331876154444196e-34
2,tomatillo,2.8551768011192305e-46
3,tomatillo,5.9480039740468094e-6
4,tomatillo,2.2561685864126255e-4
5,tomatillo,0.04117711132128985
6,tomatillo,3.452348611362176e-9
7,tomatillo,3.1312504329967354e-17
8,tomatillo,1.1898072519639825e-22
9,tomatillo,1.631065767785536e-17
10,tomatillo,9.613029762720317e-41
1,dressing,2.859820777995694e-50
2,dressing,1.174076265688387e-61
3,dressing,7.014832016800516e-18
4,dressing,5.80680570749813e-26
5,dressing,1.3706480507295287e-22
6,dressing,1.8257188496739651e-10
7,dressing,0.006585452729917359
8,dressing,0.020136043011839338
9,dressing,2.0772069167806616e-4
10,dressing,1.9859824874787428e-44
1,ranch,2.2038574686007753e-48
2,ranch,9.553256033133517e-60
3,ranch,1.7602771058639245e-21
4,ranch,7.406203232546839e-5
5,ranch,5.321724990174728e-32
6,ranch,1.4746563376696182e-31
7,ranch,6.721836342674871e-31
8,ranch,0.021257090600312688
9,ranch,1.0972921942095718e-28
10,ranch,0.0017595725647706999
1,tomatoes,2.1684082391403395e-28
2,tomatoes,4.1111707761108455e-40
3,tomatoes,1.9349595435201208e-17
4,tomatoes,6.842192041066512e-11
5,tomatoes,1.6484560931699056e-26
6,tomatoes,0.01014507795358228
7,tomatoes,6.914041142788601e-22
8,tomatoes,0.0416778509126208
9,tomatoes,4.431965955498067e-13
10,tomatoes,0.013082503157093108
1,fresco,2.4792474880821847e-36
2,fresco,4.756099509497096e-52
3,fresco,0.009946284988771014
4,fresco,2.919544815717205e-19
5,fresco,1.3998868666683227e-18
6,fresco,3.069899648682818e-20
7,fresco,5.0107161545468625e-24
8,fresco,4.66267199256682e-21
9,fresco,4.752547309614424e-16
10,fresco,0.006477250726570595
1,bell,9.608941294502844e-7
2,bell,2.3119070578656827e-21
3,bell,3.050421305217694e-9
4,bell,0.0022316635904944824
5,bell,8.288694339138504e-19
6,bell,0.00380988550665983
7,bell,2.6774425710341398e-17
8,bell,0.0038455401675703722
9,bell,4.568531529463717e-15
10,bell,0.006522138920889843
1,ripe,3.7125131047703524e-49
2,ripe,3.713283901051079e-72
3,ripe,9.385385442320104e-54
4,ripe,4.133749931253972e-52
5,ripe,3.8383213650564516e-55
6,ripe,4.677059725704886e-48
7,ripe,5.119428220280991e-60
8,ripe,3.608256630886276e-31
9,ripe,2.8919670460272738e-55
10,ripe,0.006297823092118135
1,melted,2.9343752896323646e-24
2,melted,8.132323264028878e-39
3,melted,5.2065238407464915e-23
4,melted,1.304267471045308e-4
5,melted,0.02274470027140094
6,melted,0.0069288225073068045
7,melted,3.612846213874093e-23
8,melted,1.2060941468531755e-17
9,melted,0.005960346642521525
10,melted,3.2108414191548113e-36
1,fiesta,1.5069718913459363e-148
2,fiesta,1.2029059272928385e-152
3,fiesta,4.296763253271476e-102
4,fiesta,3.7029213474819555e-79
5,fiesta,7.931687194126483e-122
6,fiesta,2.144169041769835e-81
7,fiesta,5.5797176894783326e-145
8,fiesta,1.198371464347083e-85
9,fiesta,1.0832793108597456e-91
10,fiesta,0.00535036298091452
1,antibiotics,3.576127903701191e-212
2,antibiotics,1.7887805096725078e-210
3,antibiotics,1.4244907799292996e-219
4,antibiotics,4.72155799000469e-213
5,antibiotics,0.01440343088061833
6,antibiotics,1.2985957740120779e-223
7,antibiotics,2.7250156379012307e-197
8,antibiotics,3.119764357018879e-210
9,antibiotics,2.8470463003547067e-98
10,antibiotics,1.7827827722681373e-225
1,raised,9.23998016457212e-94
2,raised,1.3593944279204515e-106
3,raised,3.3512469748873e-74
4,raised,2.2836554749214904e-105
5,raised,0.014905876143895717
6,raised,2.28016368406724e-78
7,raised,2.760679897459316e-90
8,raised,2.632912814438302e-66
9,raised,6.600501274311597e-85
10,raised,3.286440332090522e-114
1,hearty,1.4401295234605776e-114
2,hearty,7.218644158669893e-116
